nOld,Long,Lat,County,StateCode,State,NationCode,Nation,Group,Order,,,,,,,,,,,
330,-101.5510406,37.39122391,Stevens,KS,Kansas,ML,Midlands,948,27392,,931,-98.61749268,35.46035767,Custer,OK,Oklahoma,ML,Midlands,2119,61818
327,-101.5223923,37.39122391,Stevens,KS,Kansas,ML,Midlands,948,27387,,975,-99.5800705,35.50619507,Roger Mills,OK,Oklahoma,ML,Midlands,2164,62787
331,-101.5223923,37.39122391,Stevens,KS,Kansas,ML,Midlands,948,27393,,928,-99.36234283,35.50619507,Custer,OK,Oklahoma,ML,Midlands,2119,61814
328,-101.0869446,37.39122391,Stevens,KS,Kansas,ML,Midlands,948,27388,,933,-99.36234283,35.50619507,Custer,OK,Oklahoma,ML,Midlands,2119,61820
321,-101.0697556,37.39122391,Seward,KS,Kansas,ML,Midlands,941,27328,,974,-99.36234283,35.50619507,Roger Mills,OK,Oklahoma,ML,Midlands,2164,62786
329,-101.0697556,37.39122391,Stevens,KS,Kansas,ML,Midlands,948,27389,,930,-98.61749268,35.55203247,Custer,OK,Oklahoma,ML,Midlands,2119,61817
276,-100.6400375,37.47143936,Gray,KS,Kansas,ML,Midlands,888,26756,,1410,-103.0464554,35.60932922,Hartley,TX,Texas,ML,Midlands,2595,76427
298,-100.6400375,37.47143936,Meade,KS,Kansas,ML,Midlands,913,27018,,1413,-103.0464554,35.60932922,Hartley,TX,Texas,ML,Midlands,2595,76432
1433,-103.0865707,37.63186646,Baca,CO,Colorado,ML,Midlands,219,10061,,1412,-102.1641083,35.61505508,Hartley,TX,Texas,ML,Midlands,2595,76431
1434,-102.7542572,37.63186646,Baca,CO,Colorado,ML,Midlands,219,10062,,1419,-102.1641083,35.61505508,Moore,TX,Texas,ML,Midlands,2663,77644
1435,-102.0437851,37.6490593,Baca,CO,Colorado,ML,Midlands,219,10063,,1421,-102.1641083,35.61505508,Moore,TX,Texas,ML,Midlands,2663,77648
277,-100.6400375,37.73500061,Gray,KS,Kansas,ML,Midlands,888,26757,,1418,-101.6197968,35.61505508,Hutchinson,TX,Texas,ML,Midlands,2609,76683
278,-100.6400375,37.82667542,Gray,KS,Kansas,ML,Midlands,888,26758,,1420,-101.6197968,35.61505508,Moore,TX,Texas,ML,Midlands,2663,77647
279,-100.6514969,37.83240509,Gray,KS,Kansas,ML,Midlands,888,26759,,1417,-101.0812149,35.61505508,Hutchinson,TX,Texas,ML,Midlands,2609,76682
275,-100.2275085,37.99856186,Gray,KS,Kansas,ML,Midlands,888,26751,,1423,-101.0812149,35.61505508,Roberts,TX,Texas,ML,Midlands,2689,78172
281,-100.2275085,37.99856186,Gray,KS,Kansas,ML,Midlands,888,26761,,1415,-100.5369034,35.61505508,Hemphill,TX,Texas,ML,Midlands,2598,76458
287,-100.2275085,37.99856186,Hodgeman,KS,Kansas,ML,Midlands,895,26822,,1422,-100.5369034,35.61505508,Roberts,TX,Texas,ML,Midlands,2689,78171
280,-100.6457672,38.00428772,Gray,KS,Kansas,ML,Midlands,888,26760,,1424,-100.5369034,35.61505508,Roberts,TX,Texas,ML,Midlands,2689,78175
285,-100.2332382,38.25639343,Hodgeman,KS,Kansas,ML,Midlands,895,26816,,978,-100.0097809,35.61505508,Roger Mills,OK,Oklahoma,ML,Midlands,2164,62790
288,-100.2332382,38.25639343,Hodgeman,KS,Kansas,ML,Midlands,895,26823,,1414,-100.0097809,35.61505508,Hemphill,TX,Texas,ML,Midlands,2598,76457
286,-99.5800705,38.25639343,Hodgeman,KS,Kansas,ML,Midlands,895,26817,,1416,-100.0097809,35.61505508,Hemphill,TX,Texas,ML,Midlands,2598,76462
315,-99.5800705,38.25639343,Pawnee,KS,Kansas,ML,Midlands,926,27134,,665,-103.0464554,35.72964859,Union,NM,New Mexico,ML,Midlands,1793,52891
270,-99.03575897,38.34233475,Barton,KS,Kansas,ML,Midlands,858,26450,,1411,-103.0464554,35.72964859,Hartley,TX,Texas,ML,Midlands,2595,76428
314,-99.03575897,38.34233475,Pawnee,KS,Kansas,ML,Midlands,926,27125,,666,-103.3730469,35.73537827,Union,NM,New Mexico,ML,Midlands,1793,52892
313,-99.5800705,38.3537941,Pawnee,KS,Kansas,ML,Midlands,926,27124,,667,-103.3673172,35.80986404,Union,NM,New Mexico,ML,Midlands,1793,52893
316,-99.5800705,38.3537941,Pawnee,KS,Kansas,ML,Midlands,926,27135,,,,,,,,,,,
