"","Long","Lat","County","StateCode","State","NationCode","Nation","Group","Order"
"59",-85.897834777832,33.907642364502,"Calhoun","AL","Alabama","DS","Deep South",8,460
"60",-85.8921051025391,33.9420204162598,"Calhoun","AL","Alabama","DS","Deep South",8,461
"61",-85.8749160766602,33.9420204162598,"Calhoun","AL","Alabama","DS","Deep South",8,462
"62",-85.8749160766602,33.9477462768555,"Calhoun","AL","Alabama","DS","Deep South",8,463
"63",-85.8462677001953,33.9477462768555,"Calhoun","AL","Alabama","DS","Deep South",8,464
"64",-85.8462677001953,33.9649391174316,"Calhoun","AL","Alabama","DS","Deep South",8,465
"65",-85.7947006225586,33.9649391174316,"Calhoun","AL","Alabama","DS","Deep South",8,466
"66",-85.7889709472656,33.9534797668457,"Calhoun","AL","Alabama","DS","Deep South",8,467
"67",-85.7431335449219,33.9534797668457,"Calhoun","AL","Alabama","DS","Deep South",8,468
"68",-85.7431335449219,33.9649391174316,"Calhoun","AL","Alabama","DS","Deep South",8,469
"69",-85.4050903320312,33.9592094421387,"Cherokee","AL","Alabama","GA","Greater Appalachia",10,500
"70",-85.5024948120117,33.9649391174316,"Cherokee","AL","Alabama","GA","Greater Appalachia",10,501
"71",-85.5024948120117,33.9534797668457,"Cherokee","AL","Alabama","GA","Greater Appalachia",10,502
"72",-85.5311431884766,33.9477462768555,"Cherokee","AL","Alabama","GA","Greater Appalachia",10,503
"73",-85.5311431884766,33.9534797668457,"Cherokee","AL","Alabama","GA","Greater Appalachia",10,504
"74",-85.63427734375,33.9534797668457,"Cherokee","AL","Alabama","GA","Greater Appalachia",10,505
"75",-85.6399993896484,33.9649391174316,"Cherokee","AL","Alabama","GA","Greater Appalachia",10,506
"76",-85.7431335449219,33.9649391174316,"Cherokee","AL","Alabama","GA","Greater Appalachia",10,507
"77",-85.5311431884766,33.9477462768555,"Cleburne","AL","Alabama","DS","Deep South",15,832
"78",-85.5024948120117,33.9534797668457,"Cleburne","AL","Alabama","DS","Deep South",15,833
"79",-85.5024948120117,33.9649391174316,"Cleburne","AL","Alabama","DS","Deep South",15,834
"80",-85.4050903320312,33.9592094421387,"Cleburne","AL","Alabama","DS","Deep South",15,835
"81",-85.3936309814453,33.907642364502,"Cleburne","AL","Alabama","DS","Deep South",15,836
"82",-85.7431335449219,33.9649391174316,"Etowah","CO","Colorado","GA","Greater Appalachia",28,1298
"83",-85.7431335449219,33.9534797668457,"Etowah","CO","Colorado","GA","Greater Appalachia",28,1299
"84",-85.7889709472656,33.9534797668457,"Etowah","CO","Colorado","GA","Greater Appalachia",28,1300
"85",-85.7947006225586,33.9649391174316,"Etowah","CO","Colorado","GA","Greater Appalachia",28,1301
"86",-85.8462677001953,33.9649391174316,"Etowah","CO","Colorado","GA","Greater Appalachia",28,1302
"87",-85.8462677001953,33.9477462768555,"Etowah","CO","Colorado","GA","Greater Appalachia",28,1303
"88",-85.8749160766602,33.9477462768555,"Etowah","CO","Colorado","GA","Greater Appalachia",28,1304
"89",-85.8749160766602,33.9420204162598,"Etowah","CO","Colorado","GA","Greater Appalachia",28,1305
"90",-85.8921051025391,33.9420204162598,"Etowah","CO","Colorado","GA","Greater Appalachia",28,1306
"91",-85.897834777832,33.907642364502,"Etowah","CO","Colorado","GA","Greater Appalachia",28,1307
"92",-85.9264755249023,33.907642364502,"Etowah","CO","Colorado","GA","Greater Appalachia",28,1308
"93",-85.9322052001953,33.9248313903809,"Etowah","CO","Colorado","GA","Greater Appalachia",28,1309
"94",-85.9551315307617,33.9248313903809,"Etowah","CO","Colorado","GA","Greater Appalachia",28,1310
"95",-85.9551315307617,33.9191017150879,"Etowah","CO","Colorado","GA","Greater Appalachia",28,1311
"96",-85.9665832519531,33.9133720397949,"Etowah","CO","Colorado","GA","Greater Appalachia",28,1312
"97",-85.9723129272461,33.896183013916,"Etowah","CO","Colorado","GA","Greater Appalachia",28,1313
"98",-85.9837799072266,33.896183013916,"Etowah","CO","Colorado","GA","Greater Appalachia",28,1314
"99",-85.9837799072266,33.8789939880371,"Etowah","CO","Colorado","GA","Greater Appalachia",28,1315
"100",-85.9952392578125,33.8789939880371,"Etowah","CO","Colorado","GA","Greater Appalachia",28,1316
"101",-85.9952392578125,33.8675346374512,"Etowah","CO","Colorado","GA","Greater Appalachia",28,1317
"102",-86.0181503295898,33.8675346374512,"Etowah","CO","Colorado","GA","Greater Appalachia",28,1318
"103",-86.0181503295898,33.8560752868652,"Etowah","CO","Colorado","GA","Greater Appalachia",28,1319
"104",-86.0467987060547,33.8560752868652,"Etowah","CO","Colorado","GA","Greater Appalachia",28,1320
"105",-86.0467987060547,33.8503456115723,"Etowah","CO","Colorado","GA","Greater Appalachia",28,1321
"106",-86.0639877319336,33.8388862609863,"Etowah","CO","Colorado","GA","Greater Appalachia",28,1322
"107",-86.0639877319336,33.8675346374512,"Etowah","CO","Colorado","GA","Greater Appalachia",28,1323
"108",-86.0754547119141,33.8675346374512,"Etowah","CO","Colorado","GA","Greater Appalachia",28,1324
"109",-86.0926361083984,33.8675346374512,"Etowah","CO","Colorado","GA","Greater Appalachia",28,1325
"110",-86.1040954589844,33.8789939880371,"Etowah","CO","Colorado","GA","Greater Appalachia",28,1326
"111",-86.1098251342773,33.901912689209,"Etowah","CO","Colorado","GA","Greater Appalachia",28,1327
"112",-86.1270217895508,33.9133720397949,"Etowah","CO","Colorado","GA","Greater Appalachia",28,1328
"113",-86.1442031860352,33.9133720397949,"Etowah","CO","Colorado","GA","Greater Appalachia",28,1329
"114",-86.1499328613281,33.9191017150879,"Etowah","CO","Colorado","GA","Greater Appalachia",28,1330
"115",-86.1499328613281,33.9248313903809,"Etowah","CO","Colorado","GA","Greater Appalachia",28,1331
"116",-86.1671295166016,33.9420204162598,"Etowah","CO","Colorado","GA","Greater Appalachia",28,1332
"117",-86.1671295166016,33.9592094421387,"Etowah","CO","Colorado","GA","Greater Appalachia",28,1333
"118",-86.2014999389648,33.9935836791992,"Etowah","CO","Colorado","GA","Greater Appalachia",28,1334
"119",-86.2129592895508,33.9993171691895,"Etowah","CO","Colorado","GA","Greater Appalachia",28,1335
"120",-86.2186889648438,33.9993171691895,"Etowah","CO","Colorado","GA","Greater Appalachia",28,1336
"121",-86.253059387207,33.9763984680176,"Etowah","CO","Colorado","GA","Greater Appalachia",28,1337
"122",-86.2817153930664,33.9935836791992,"Etowah","CO","Colorado","GA","Greater Appalachia",28,1338
"123",-86.2988967895508,33.9935836791992,"Etowah","CO","Colorado","GA","Greater Appalachia",28,1339
"124",-86.3160934448242,33.9763984680176,"Etowah","CO","Colorado","GA","Greater Appalachia",28,1340
"125",-86.3332824707031,33.9477462768555,"Etowah","CO","Colorado","GA","Greater Appalachia",28,1341
"126",-87.4104385375977,33.6097030639648,"Fayette","CO","Colorado","GA","Greater Appalachia",29,1361
"127",-87.6281661987305,33.6154365539551,"Fayette","CO","Colorado","GA","Greater Appalachia",29,1362
"128",-87.6281661987305,33.586784362793,"Fayette","CO","Colorado","GA","Greater Appalachia",29,1363
"129",-87.6625442504883,33.586784362793,"Fayette","CO","Colorado","GA","Greater Appalachia",29,1364
"130",-87.6682739257812,33.5180282592773,"Fayette","CO","Colorado","GA","Greater Appalachia",29,1365
"131",-87.8344268798828,33.5180282592773,"Fayette","CO","Colorado","GA","Greater Appalachia",29,1366
"132",-87.9547500610352,33.5180282592773,"Fayette","CO","Colorado","GA","Greater Appalachia",29,1367
"133",-86.5681915283203,33.7758636474609,"Jefferson","CO","Colorado","DS","Deep South",37,1695
"134",-87.261474609375,33.5180282592773,"Jefferson","CO","Colorado","DS","Deep South",37,1774
"135",-87.261474609375,33.5294914245605,"Jefferson","CO","Colorado","DS","Deep South",37,1775
"136",-87.261474609375,33.5352210998535,"Jefferson","CO","Colorado","DS","Deep South",37,1776
"137",-87.2500076293945,33.5409469604492,"Jefferson","CO","Colorado","DS","Deep South",37,1777
"138",-87.2385559082031,33.5294914245605,"Jefferson","CO","Colorado","DS","Deep South",37,1778
"139",-87.2270965576172,33.5294914245605,"Jefferson","CO","Colorado","DS","Deep South",37,1779
"140",-87.2213668823242,33.5524101257324,"Jefferson","CO","Colorado","DS","Deep South",37,1780
"141",-87.2099075317383,33.5524101257324,"Jefferson","CO","Colorado","DS","Deep South",37,1781
"142",-87.2041702270508,33.5982437133789,"Jefferson","CO","Colorado","DS","Deep South",37,1782
"143",-87.1755294799805,33.5982437133789,"Jefferson","CO","Colorado","DS","Deep South",37,1783
"144",-87.1755294799805,33.6211624145508,"Jefferson","CO","Colorado","DS","Deep South",37,1784
